@relation train

@attribute Id numeric
@attribute 'Open Date' {7/17/99,2/14/08,3/9/13,2/2/12,5/9/09,2/12/10,10/11/10,6/21/11,8/28/10,11/16/11,8/9/13,5/22/12,2/28/13,10/16/10,12/29/11,2/7/12,1/7/00,11/8/09,4/21/12,8/16/11,8/25/10,1/25/14,7/1/06,6/3/09,9/20/09,12/23/11,2/23/10,10/9/99,1/28/98,10/13/06,12/1/08,12/31/12,1/17/09,4/23/13,3/21/12,5/8/96,5/9/08,8/23/10,1/18/11,3/28/09,2/9/11,6/1/09,9/27/11,9/24/09,10/13/04,8/25/11,12/23/09,12/21/11,4/1/08,5/1/10,11/8/11,11/12/13,3/29/13,6/5/99,8/12/08,3/16/13,6/21/08,4/11/12,12/1/07,5/1/12,5/30/08,11/15/10,8/5/13,7/13/98,12/21/13,1/9/10,3/1/11,3/16/10,8/30/11,11/27/06,12/6/06,8/5/09,10/4/11,12/1/11,10/15/05,11/25/08,10/25/13,9/29/12,1/25/10,10/16/09,12/16/05,8/12/98,10/9/09,7/26/11,2/11/08,7/10/13,5/11/09,8/8/13,6/20/07,11/1/02,10/14/12,8/8/11,6/8/12,11/27/11,1/26/09,3/11/11,12/18/99,9/21/07,9/9/12,9/11/04,12/6/11,1/22/07,3/15/08,6/15/08,5/1/11,7/9/12,8/25/07,9/26/12,8/10/12,3/14/98,12/9/06,12/6/08,5/4/12,3/30/12,12/27/05,12/25/09,1/3/14,8/18/11,11/13/04,4/10/97,11/5/11,8/18/05,9/1/10,7/20/08,9/7/07,10/14/11,2/8/07,10/29/11,11/6/02,6/25/08,10/12/06,7/8/06,10/29/10,9/1/09}
@attribute City {��stanbul,Ankara,Diyarbak��r,Tokat,Gaziantep,Afyonkarahisar,Edirne,Kocaeli,Bursa,��zmir,Sakarya,Elaz��_,Kayseri,Eski�_ehir,�_anl��urfa,Samsun,Adana,Antalya,Kastamonu,U�_ak,Mu�_la,K��rklareli,Konya,KarabǬk,Tekirda�_,Denizli,Bal��kesir,Ayd��n,Amasya,KǬtahya,Bolu,Trabzon,Isparta,Osmaniye}
@attribute 'City Group' {'Big Cities',Other}
@attribute Type {IL,FC,DT}
@attribute P1 numeric
@attribute P2 numeric
@attribute P3 numeric
@attribute P4 numeric
@attribute P5 numeric
@attribute P6 numeric
@attribute P7 numeric
@attribute P8 numeric
@attribute P9 numeric
@attribute P10 numeric
@attribute P11 numeric
@attribute P12 numeric
@attribute P13 numeric
@attribute P14 numeric
@attribute P15 numeric
@attribute P16 numeric
@attribute P17 numeric
@attribute P18 numeric
@attribute P19 numeric
@attribute P20 numeric
@attribute P21 numeric
@attribute P22 numeric
@attribute P23 numeric
@attribute P24 numeric
@attribute P25 numeric
@attribute P26 numeric
@attribute P27 numeric
@attribute P28 numeric
@attribute P29 numeric
@attribute P30 numeric
@attribute P31 numeric
@attribute P32 numeric
@attribute P33 numeric
@attribute P34 numeric
@attribute P35 numeric
@attribute P36 numeric
@attribute P37 numeric
@attribute 'Days Opened' numeric
@attribute revenue numeric

@data
0,7/17/99,��stanbul,'Big Cities',IL,4,5,4,4,2,2,5,4,5,5,3,5,5,1,2,2,2,4,5,4,1,3,3,1,1,1,4,2,3,5,3,4,5,5,4,3,4,5731,5653753
1,2/14/08,Ankara,'Big Cities',FC,4,5,4,4,1,2,5,5,5,5,1,5,5,0,0,0,0,0,3,2,1,3,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2597,6923131
2,3/9/13,Diyarbak��r,Other,IL,2,4,2,5,2,3,5,5,5,5,2,5,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,747,2055379
3,2/2/12,Tokat,Other,IL,6,4.5,6,6,4,4,10,8,10,10,8,10,7.5,6,4,9,3,12,20,12,6,1,10,2,2,2.5,2.5,2.5,7.5,25,12,10,6,18,12,12,6,1148,2675511
4,5/9/09,Gaziantep,Other,IL,3,4,3,4,2,2,5,5,5,5,2,5,5,2,1,2,1,4,2,2,1,2,1,2,3,3,5,1,3,5,1,3,2,3,4,3,3,2147,4316715
5,2/12/10,Ankara,'Big Cities',FC,6,6,4.5,7.5,8,10,10,8,8,8,10,8,6,0,0,0,0,0,5,6,3,1,5,0,0,0,0,7.5,5,0,0,0,0,0,0,0,0,1868,5017319
6,10/11/10,��stanbul,'Big Cities',IL,2,3,4,4,1,5,5,5,5,5,2,5,5,3,4,4,3,4,2,4,1,2,1,5,4,4,5,1,3,4,5,2,2,3,5,4,4,1627,5166635
7,6/21/11,��stanbul,'Big Cities',IL,4,5,4,5,2,3,5,4,4,4,4,3,4,0,0,0,0,0,3,5,2,4,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1374,4491607
8,8/28/10,Afyonkarahisar,Other,IL,1,1,4,4,1,2,1,5,5,5,1,5,5,1,1,2,1,4,1,1,1,1,1,4,4,4,2,2,3,4,5,5,3,4,5,4,5,1671,4952497
9,11/16/11,Edirne,Other,IL,6,4.5,6,7.5,6,4,10,10,10,10,2,10,7.5,0,0,0,0,0,25,3,3,1,10,0,0,0,0,5,2.5,0,0,0,0,0,0,0,0,1226,5444227
10,8/9/13,Kocaeli,Other,FC,9,6,6,6,4,4,10,8,10,10,8,10,7.5,0,0,0,0,0,25,15,15,3,20,0,0,0,0,10,2.5,0,0,0,0,0,0,0,0,594,3745135
11,5/22/12,��stanbul,'Big Cities',IL,2,4,4,4,2,5,5,5,5,5,2,5,5,2,2,5,2,4,2,5,1,1,3,5,2,3,5,3,3,5,5,4,2,3,4,4,2,1038,5161370
12,2/28/13,Ankara,'Big Cities',IL,2,2,4,4,2,1,5,4,5,5,3,5,5,0,0,0,0,0,3,4,1,2,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,756,1734634
13,10/16/10,��stanbul,'Big Cities',FC,4,5,4,4,1,3,5,5,5,5,2,5,5,0,0,0,0,0,3,4,1,2,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1622,4807746
